Hostname             , Empresa, Rol                      , Ubicacion             , Marca  , Plataforma             , Modelo      , IP_Administracion, Mascara_Mgmt   , GW_Mgmt       , Notas
ARC-FSJ-ACC02        , ARC    , Access switch            , "Fort St. John, BC"   , Cisco  , Catalyst               , 2960-24TT   , 10.10.255.32     , 255.255.255.0  , 10.10.255.254 , "Acceso usuarios (alambrico), uplinks redundantes a CORE01/CORE02; Spanning Tree access"
ARC-FSJ-ACC03        , ARC    , Access switch            , "Fort St. John, BC"   , Cisco  , Catalyst               , 2960-24TT   , 10.10.255.33     , 255.255.255.0  , 10.10.255.254 , Acceso OT (alambrico) separado; uplinks redundantes a CORE01/CORE02; VLAN OT
ARC-ATT-RT01         , ARC    , Router de sitio          , "Attachie, BC"        , Cisco  , ISR G2                 , 2911        , -                , -              , -             , Conecta sitio Attachie al hub ARC; mgmt ver Interfaces_Logicas
ARC-ATT-SW01         , ARC    , Access switch            , "Attachie, BC"        , Cisco  , Catalyst               , 2960-24TT   , 10.11.10.21      , 255.255.255.0  , 10.11.10.254  , Acceso local de sitio
ARC-ATT-AP01         , ARC    , Wireless AP              , "Attachie, BC"        , Cisco  , Aironet / AP-PT        , Access Point, 10.11.10.41      , 255.255.255.0  , 10.11.10.254  , Wi-Fi local de operaciones
ARC-SUN-RT01         , ARC    , Router de sitio          , "Sunrise, BC"         , Cisco  , ISR G2                 , 2911        , -                , -              , -             , Conecta sitio Sunrise al hub ARC; mgmt ver Interfaces_Logicas
ARC-SUN-SW01         , ARC    , Access switch            , "Sunrise, BC"         , Cisco  , Catalyst               , 2960-24TT   , 10.12.10.21      , 255.255.255.0  , 10.12.10.254  , Acceso local de sitio
ARC-GDA-RT01         , ARC    , Router de sitio          , "Greater Dawson, BC"  , Cisco  , ISR G2                 , 2911        , -                , -              , -             , Conecta Greater Dawson al hub ARC; mgmt ver Interfaces_Logicas
ARC-GDA-SW01         , ARC    , Access switch            , "Greater Dawson, BC"  , Cisco  , Catalyst               , 2960-24TT   , 10.13.10.21      , 255.255.255.0  , 10.13.10.254  , Acceso local de sitio
ARC-SSN-RT01         , ARC    , Router de sitio          , "Septimus/Sundown, BC", Cisco  , ISR G2                 , 2911        , -                , -              , -             , Conecta Septimus/Sundown al hub ARC; mgmt ver Interfaces_Logicas
ARC-SSN-SW01         , ARC    , Access switch            , "Septimus/Sundown, BC", Cisco  , Catalyst               , 2960-24TT   , 10.14.10.21      , 255.255.255.0  , 10.14.10.254  , Acceso local de sitio
ARC-FSJ-SRV-DNSDHCP01, ARC    , Server (DNS/DHCP)        , "Fort St. John, BC"   , Generic, Server-PT              , Server-PT   , 10.10.255.61     , 255.255.255.0  , 10.10.255.254 , "Servicios: DHCP scopes por VLAN, DNS interno; conectado a SRV-SW01 (no al router)"
ARC-FSJ-SRV-MAIL01   , ARC    , Server (Email)           , "Fort St. John, BC"   , Generic, Server-PT              , Server-PT   , 10.10.255.62     , 255.255.255.0  , 10.10.255.254 , Servidor de correo (servicio de aplicacion); conectado a SRV-SW01 (no al router)
ARC-FSJ-WLC01        , ARC    , Wireless LAN Controller  , "Fort St. John, BC"   , Cisco  , WLC (Packet Tracer)    , WLC-PT      , 10.10.255.51     , 255.255.255.0  , 10.10.255.254 , Controladora WiFi; SSIDs mapeados a VLANs; administra APs del sitio
ARC-FSJ-AP01         , ARC    , Wireless AP              , "Fort St. John, BC"   , Cisco  , Aironet / LAP-PT       , Access Point, 10.10.255.41     , 255.255.255.0  , 10.10.255.254 , Wi-Fi corporativo/operaciones local
ARC-FSJ-PC01         , ARC    , End-device (wired)       , "Fort St. John, BC"   , Generic, PC-PT                  , PC-PT       , DHCP             , DHCP           , DHCP          , Usuario IT alambrico en VLAN IT (obtiene IP por DHCP)
ARC-FSJ-PC02         , ARC    , End-device (wired)       , "Fort St. John, BC"   , Generic, PC-PT                  , PC-PT       , DHCP             , DHCP           , DHCP          , Usuario IT alambrico en VLAN IT (obtiene IP por DHCP)
ARC-FSJ-OT-PLC01     , ARC    , End-device (OT wired)    , "Fort St. John, BC"   , Generic, IoT/PLC (Packet Tracer), PLC         , DHCP/Static      , DHCP/Static    , DHCP/Static   , Equipo OT alambrico en VLAN OT; segmentado de Enterprise
SHL-FSJ-EDGE01       , Shell  , Oficina T&L / WAN edge   , "Fort St. John, BC"   , Cisco  , ISR G2                 , 2911        , -                , -              , -             , "Entrada principal de datos ARC->Shell; mgmt ver Interfaces_Logicas"
SHL-FSJ-EDGE02       , Shell  , Oficina T&L / WAN edge   , "Fort St. John, BC"   , Cisco  , ISR G2                 , 2911        , -                , -              , -             , "Entrada secundaria / redundancia WAN; mgmt ver Interfaces_Logicas"
SHL-FSJ-FW01         , Shell  , Firewall perimetral      , "Fort St. John, BC"   , Cisco  , ASA                    , 5505        , 10.20.255.11     , 255.255.255.0  , 10.20.255.254 , Termina VPN IPSec primaria
SHL-FSJ-FW02         , Shell  , Firewall perimetral      , "Fort St. John, BC"   , Cisco  , ASA                    , 5505        , 10.20.255.12     , 255.255.255.0  , 10.20.255.254 , Termina VPN IPSec secundaria / HA logica
SHL-FSJ-CORE01       , Shell  , Core L3                  , "Fort St. John, BC"   , Cisco  , Catalyst               , 3560-24PS   , 10.20.255.21     , 255.255.255.0  , 10.20.255.254 , "HRSP gateway redundante, distribucion primaria"
SHL-FSJ-CORE02       , Shell  , Core L3                  , "Fort St. John, BC"   , Cisco  , Catalyst               , 3560-24PS   , 10.20.255.22     , 255.255.255.0  , 10.20.255.254 , "HRSP gateway redundante, distribucion secundaria"
SHL-FSJ-SRV-SW01     , Shell  , Server / Services switch , "Fort St. John, BC"   , Cisco  , Catalyst               , 2960-24TT   , 10.20.255.34     , 255.255.255.0  , 10.20.255.254 , Switch de servicios (DNS/DHCP/Email/WLC); conectado al core; trunk para VLANs de servicios
SHL-FSJ-ACC01        , Shell  , Access switch            , "Fort St. John, BC"   , Cisco  , Catalyst               , 2960-24TT   , 10.20.255.31     , 255.255.255.0  , 10.20.255.254 , Acceso usuarios trading/logistica
SHL-FSJ-ACC02        , Shell  , Access switch            , "Fort St. John, BC"   , Cisco  , Catalyst               , 2960-24TT   , 10.20.255.32     , 255.255.255.0  , 10.20.255.254 , Acceso usuarios alambricos; uplinks redundantes a CORE01/CORE02; Spanning Tree access
SHL-FSJ-ACC03        , Shell  , Access switch            , "Fort St. John, BC"   , Cisco  , Catalyst               , 2960-24TT   , 10.20.255.33     , 255.255.255.0  , 10.20.255.254 , Acceso OT alambrico separado; uplinks redundantes a CORE01/CORE02; VLAN OT
SHL-FSJ-SRV-DNSDHCP01, Shell  , Server (DNS/DHCP)        , "Fort St. John, BC"   , Generic, Server-PT              , Server-PT   , 10.20.255.61     , 255.255.255.0  , 10.20.255.254 , "Servicios: DHCP scopes por VLAN, DNS interno; conectado a SRV-SW01 (no al router)"
SHL-FSJ-SRV-MAIL01   , Shell  , Server (Email)           , "Fort St. John, BC"   , Generic, Server-PT              , Server-PT   , 10.20.255.62     , 255.255.255.0  , 10.20.255.254 , Servidor de correo; conectado a SRV-SW01 (no al router)
SHL-FSJ-WLC01        , Shell  , Wireless LAN Controller  , "Fort St. John, BC"   , Cisco  , WLC (Packet Tracer)    , WLC-PT      , 10.20.255.51     , 255.255.255.0  , 10.20.255.254 , Controladora WiFi; SSIDs mapeados a VLANs; administra APs del sitio
SHL-FSJ-AP01         , Shell  , Wireless AP              , "Fort St. John, BC"   , Cisco  , Aironet / LAP-PT       , Access Point, 10.20.255.41     , 255.255.255.0  , 10.20.255.254 , Wi-Fi corporativo oficina primaria
SHL-FSJ-PC01         , Shell  , End-device (wired)       , "Fort St. John, BC"   , Generic, PC-PT                  , PC-PT       , DHCP             , DHCP           , DHCP          , Usuario IT alambrico en VLAN IT (obtiene IP por DHCP)
SHL-FSJ-OT-PLC01     , Shell  , End-device (OT wired)    , "Fort St. John, BC"   , Generic, IoT/PLC (Packet Tracer), PLC         , DHCP/Static      , DHCP/Static    , DHCP/Static   , Equipo OT alambrico en VLAN OT; segmentado de Enterprise
SHL-DAW-EDGE01       , Shell  , Oficina T&L-DR / WAN edge, "Dawson Creek, BC"    , Cisco  , ISR G2                 , 2911        , -                , -              , -             , "Sitio alterno / contingencia; mgmt ver Interfaces_Logicas"
SHL-DAW-FW01         , Shell  , Firewall perimetral      , "Dawson Creek, BC"    , Cisco  , ASA                    , 5505        , 10.21.255.11     , 255.255.255.0  , 10.21.255.254 , VPN IPSec de contingencia
SHL-DAW-CORE01       , Shell  , Core L3                  , "Dawson Creek, BC"    , Cisco  , Catalyst               , 3560-24PS   , 10.21.255.21     , 255.255.255.0  , 10.21.255.254 , Distribucion sitio alterno
SHL-DAW-ACC01        , Shell  , Access switch            , "Dawson Creek, BC"    , Cisco  , Catalyst               , 2960-24TT   , 10.21.255.31     , 255.255.255.0  , 10.21.255.254 , Acceso oficina alterna
ISP-A-ARC01          , ISP-A  , Router ISP lado ARC      , Simulado Packet Tracer, Cisco  , ISR G2                 , 2911        , -                , -              , -             , "Simula proveedor A hacia ARC; mgmt ver Interfaces_Logicas"
ISP-A-SHL01          , ISP-A  , Router ISP lado Shell    , Simulado Packet Tracer, Cisco  , ISR G2                 , 2911        , -                , -              , -             , "Simula proveedor A hacia Shell; mgmt ver Interfaces_Logicas"
ISP-B-ARC01          , ISP-B  , Router ISP lado ARC      , Simulado Packet Tracer, Cisco  , ISR G2                 , 2911        , -                , -              , -             , "Simula proveedor B hacia ARC; mgmt ver Interfaces_Logicas"
ISP-B-SHL01          , ISP-B  , Router ISP lado Shell    , Simulado Packet Tracer, Cisco  , ISR G2                 , 2911        , -                , -              , -             , "Simula proveedor B hacia Shell; mgmt ver Interfaces_Logicas"
